City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cherskiy,94.0,RU,1567296559,71.0,68.75,161.3,36.80,2.49
Katsuura,75.0,JP,1567296560,88.0,33.93,134.5,77.00,2.6
Kodinar,66.0,IN,1567296560,92.0,20.79,70.7,78.92,3.23
Vaini,100.0,IN,1567296560,96.0,15.34,74.49,75.14,1.94
Jerome,1.0,US,1567296560,13.0,34.75,-112.11,100.00,4.1
Georgetown,20.0,GY,1567296363,78.0,6.8,-58.16,82.40,5.1
Ardatov,60.0,RU,1567296561,78.0,55.24,43.1,54.62,1.81
Ormara,24.0,PK,1567296288,85.0,25.21,64.64,81.08,2.72
Ancud,90.0,CL,1567296563,70.0,-41.87,-73.83,46.40,2.6
Rikitea,82.0,PF,1567296563,85.0,-23.12,-134.97,73.52,7.92
Cape Town,75.0,ZA,1567296564,81.0,-33.93,18.42,55.99,4.6
Saskylakh,20.0,RU,1567296564,62.0,71.97,114.09,44.18,0.97
Iglesias,90.0,ES,1567296564,93.0,42.3,-3.99,66.00,6.2
Amahai,83.0,ID,1567296564,77.0,-3.31,129.0,76.22,6.52
Lumeje,67.0,AO,1567296565,53.0,-11.56,20.78,67.94,1.72
Vrangel,0.0,RU,1567296565,66.0,42.73,133.08,70.10,0.45
Arraial do Cabo,0.0,BR,1567296565,77.0,-22.97,-42.02,74.24,5.32
Springbok,0.0,ZA,1567296565,83.0,-29.67,17.88,44.36,1.64
Esperance,0.0,AU,1567296566,81.0,-33.86,121.89,48.20,5.7
Aransas Pass,1.0,US,1567296333,59.0,27.91,-97.15,89.60,5.7
Cam Ranh,40.0,VN,1567296567,83.0,11.92,109.15,82.40,0.5
Hermanus,69.0,ZA,1567296567,78.0,-34.42,19.24,57.00,2.24
Benjamin Hill,60.0,MX,1567296568,53.0,30.17,-111.1,90.00,2.68
Vestmannaeyjar,100.0,IS,1567296317,84.0,63.44,-20.27,46.88,3.55
Carnarvon,0.0,ZA,1567296569,54.0,-30.97,22.13,41.12,2.58
Hamilton,75.0,CA,1567296374,59.0,43.26,-79.87,68.00,2.6
Port Blair,100.0,IN,1567296570,81.0,11.67,92.75,81.98,11.45
Boyolangu,76.0,ID,1567296570,81.0,-8.09,111.9,69.92,2.61
Avarua,94.0,CK,1567296497,64.0,-21.21,-159.78,71.60,1.5
Zenzeli,95.0,RU,1567296571,51.0,45.92,47.05,59.12,2.44
Vila Franca do Campo,20.0,PT,1567296572,88.0,37.72,-25.43,71.60,3.1
Atuona,27.0,PF,1567296572,76.0,-9.8,-139.03,78.92,6.96
Lusambo,25.0,CD,1567296573,94.0,-4.97,23.44,68.84,0.42
Matagami,94.0,NG,1567296573,97.0,9.67,8.4,68.12,1.65
Bluff,0.0,AU,1567296573,56.0,-23.58,149.07,68.84,1.7
Ushuaia,75.0,AR,1567296466,86.0,-54.81,-68.31,33.80,10.3
Tasiilaq,0.0,GL,1567296574,60.0,65.61,-37.64,41.00,3.1
Juneau,75.0,US,1567296469,42.0,58.3,-134.42,66.20,4.6
Mataura,1.0,NZ,1567296575,73.0,-46.19,168.86,55.99,4.47
Butaritari,88.0,KI,1567296575,74.0,3.07,172.79,84.68,4.93
Jamestown,35.0,AU,1567296508,72.0,-33.21,138.6,56.78,6.07
Karwar,100.0,IN,1567296578,87.0,14.8,74.13,78.20,3.62
Uzhur,66.0,RU,1567296579,90.0,55.32,89.85,55.70,3.34
Dikson,85.0,RU,1567296579,92.0,73.51,80.55,40.58,3.06
Albany,1.0,US,1567296303,55.0,42.65,-73.75,69.01,3.6
Oranjemund,0.0,ZA,1567296580,80.0,-28.55,16.43,55.16,10.05
Shingu,75.0,JP,1567296580,83.0,33.72,135.99,78.80,0.5
Sao Jose da Coroa Grande,1.0,BR,1567296581,95.0,-8.9,-35.15,68.84,1.44
Qaanaaq,80.0,GL,1567296581,47.0,77.48,-69.36,39.68,2.14
New Norfolk,75.0,AU,1567296581,66.0,-42.78,147.06,57.00,2.6
Tommot,1.0,RU,1567296582,74.0,58.97,126.27,54.80,0.36
San Patricio,58.0,PY,1567296582,66.0,-26.98,-56.83,57.14,3.38
Norman Wells,40.0,CA,1567296582,54.0,65.28,-126.83,53.60,4.6
Udachnyy,0.0,RU,1567296582,76.0,66.42,112.4,50.00,1.0
Tiksi,14.0,RU,1567296583,67.0,71.64,128.87,44.72,1.01
Bambous Virieux,40.0,MU,1567296583,73.0,-20.34,57.76,71.60,5.7
Punta Arenas,20.0,CL,1567296583,64.0,-53.16,-70.91,39.20,8.7
Mecca,25.0,SA,1567296324,70.0,21.43,39.83,81.98,1.51
Velyka Lepetykha,0.0,UA,1567296584,43.0,47.18,33.94,66.32,1.61
Aksarka,100.0,RU,1567296584,91.0,66.56,67.8,47.60,8.84
Yulara,0.0,AU,1567296584,19.0,-25.24,130.99,60.80,2.6
Mar del Plata,42.0,AR,1567296307,51.0,-46.43,-67.52,39.86,3.82
Lucea,40.0,JM,1567296585,74.0,18.44,-78.17,86.00,1.0
Chapais,20.0,CA,1567296585,57.0,49.78,-74.86,51.80,3.6
Roshchino,75.0,RU,1567296586,100.0,55.31,61.27,44.60,3.0
Vanimo,60.0,PG,1567296586,75.0,-2.67,141.3,81.62,3.85
Bredasdorp,6.0,ZA,1567296586,62.0,-34.53,20.04,57.00,4.6
Bethlehem,1.0,US,1567296586,46.0,40.62,-75.38,75.20,2.1
Nikolskoye,0.0,RU,1567296587,87.0,59.7,30.79,53.01,2.0
Pevek,100.0,RU,1567296587,90.0,69.7,170.27,35.72,3.95
Khatanga,64.0,RU,1567296587,53.0,71.98,102.47,45.62,2.98
Coquimbo,0.0,CL,1567296587,87.0,-29.95,-71.34,51.80,4.1
Mount Pleasant,1.0,US,1567296588,58.0,33.16,-94.97,88.00,1.34
Kusa,100.0,RU,1567296588,98.0,55.34,59.45,40.58,2.63
Thompson,90.0,CA,1567296588,81.0,55.74,-97.86,53.60,5.1
Goderich,93.0,CA,1567296589,69.0,43.74,-81.71,64.99,1.79
Sobolevo,27.0,RU,1567296589,95.0,54.43,31.9,53.18,2.3
Baiyin,0.0,CN,1567296589,100.0,36.55,104.13,48.20,2.0
Aksu,40.0,KZ,1567296590,87.0,52.04,76.93,48.20,5.0
Gravdal,88.0,NO,1567296590,82.0,59.79,5.78,59.00,11.3
Airai,69.0,TL,1567296590,37.0,-8.93,125.41,78.92,0.22
Amapa,20.0,HN,1567296590,59.0,15.09,-87.97,89.60,6.2
Makinsk,95.0,KZ,1567296591,92.0,52.63,70.42,44.18,4.33
San Andres,100.0,PH,1567296591,94.0,13.32,122.68,74.78,0.27
Ayagoz,18.0,KZ,1567296591,48.0,47.96,80.43,49.58,1.15
Matay,0.0,EG,1567296591,72.0,28.42,30.79,73.16,5.1
Bien Hoa,40.0,VN,1567296592,100.0,10.95,106.82,78.80,2.1
Faanui,95.0,PF,1567296592,80.0,-16.48,-151.75,75.50,7.4
Bonthe,100.0,SL,1567296592,94.0,7.53,-12.5,74.78,3.28
Berlevag,33.0,NO,1567296593,83.0,70.86,29.09,52.64,4.46
Ixtapa,40.0,MX,1567296593,66.0,20.71,-105.21,91.40,4.6
Sabaudia,0.0,IT,1567296594,69.0,41.3,13.03,75.99,1.5
Nanortalik,83.0,GL,1567296594,81.0,60.14,-45.24,44.90,0.2
Nantucket,1.0,US,1567296407,77.0,41.28,-70.1,69.80,4.03
